Date,EURO STOXX Vol Closing,SMAVG (50),SMAVG (100),SMAVG (250)
2022-08-26,24.719,26.0341,27.4503,25.7896
2022-08-25,25.4513,26.1916,27.4947,25.7635
2022-08-24,26.9246,26.2841,27.5074,25.7296
2022-08-23,27.3682,26.3769,27.5232,25.6917
2022-08-22,24.5809,26.4657,27.5394,25.6573
2022-08-19,22.667,26.5273,27.5746,25.629
2022-08-18,22.7453,26.5535,27.6138,25.6087
2022-08-17,21.3365,26.5612,27.6913,25.5941
2022-08-16,21.5858,26.6063,27.8002,25.5801
2022-08-15,21.2132,26.634,27.8959,25.5661
2022-08-12,21.6517,26.6776,27.9916,25.5529
2022-08-11,21.7894,26.7124,28.0499,25.5468
2022-08-10,23.284,26.7854,28.1154,25.5482
2022-08-09,22.0847,26.8246,28.1816,25.529
2022-08-08,22.8536,26.8575,28.2809,25.5142
2022-08-05,22.4519,26.8774,28.4125,25.4948
2022-08-04,22.3417,26.9417,28.6,25.4682
2022-08-03,23.7725,27.0433,28.783,25.4432
2022-08-02,22.9625,27.1401,28.959,25.4163
2022-08-01,22.3049,27.2324,29.1629,25.3935
2022-07-29,22.5542,27.3594,29.3548,25.3745
2022-07-28,24.0433,27.4977,29.5849,25.3559
2022-07-27,25.5671,27.5695,29.8268,25.3327
2022-07-26,24.5311,27.5829,30.0675,25.3073
2022-07-25,24.0588,27.6566,30.2267,25.29
2022-07-22,25.5535,27.7578,30.374,25.2732
2022-07-21,27.4017,27.8946,30.5342,25.2547
2022-07-20,26.7194,27.969,30.6131,25.2221
2022-07-19,29.0637,28.1349,30.6671,25.1932
2022-07-18,28.8183,28.2718,30.7578,25.1623
2022-07-15,31.8165,28.3515,30.8042,25.1212
2022-07-14,29.8522,28.3705,30.8158,25.0641
2022-07-13,29.2615,28.3981,30.8795,25.0244
2022-07-12,28.8668,28.4405,30.8995,24.9934
2022-07-11,27.5514,28.5445,30.8988,24.9759
2022-07-08,28.317,28.609,30.8894,24.9675
2022-07-07,30.108,28.6682,30.8768,24.932
2022-07-06,31.604,28.721,30.8763,24.8862
2022-07-05,28.3185,28.7431,30.8069,24.8305
2022-07-04,28.7616,28.8059,30.7421,24.7892
2022-07-01,29.7804,28.7976,30.6686,24.746
2022-06-30,28.1127,28.6927,30.6024,24.6986
2022-06-29,26.6834,28.6301,30.5637,24.666
2022-06-28,27.0179,28.6452,30.5598,24.6286
2022-06-27,27.7689,28.6399,30.5329,24.593
2022-06-24,29.209,28.6614,30.4817,24.549
2022-06-23,28.6815,28.6775,30.4305,24.4984
2022-06-22,28.1129,28.7084,30.4137,24.4546
2022-06-21,28.5896,28.7608,30.4267,24.4149
2022-06-20,30.893,28.8396,30.4211,24.3683
2022-06-17,32.5946,28.8665,30.3955,24.3153
2022-06-16,30.0721,28.7978,30.3841,24.2517
2022-06-15,31.5667,28.7308,30.4102,24.2008
2022-06-14,31.8085,28.6695,30.3367,24.1487
2022-06-13,27.6629,28.6131,30.2227,24.0918
2022-06-10,23.9731,28.6219,30.1696,24.0591
2022-06-09,23.1306,28.674,30.1495,24.0462
2022-06-08,23.5931,28.8215,30.1186,24.022
2022-06-07,22.97,28.9941,30.0966,23.9924
2022-06-06,23.3949,29.1579,30.0515,23.9661
2022-06-03,23.3885,29.3055,30.0006,23.9367
2022-06-02,25.4388,29.3874,29.9646,23.9038
2022-06-01,25.249,29.4454,29.9356,23.8687
2022-05-31,23.726,29.5385,29.8894,23.8366
2022-05-30,23.8505,29.7044,29.8531,23.8126
2022-05-27,25.6642,29.9476,29.7921,23.788
2022-05-26,27.4222,30.2583,29.7219,23.7549
2022-05-25,28.6123,30.5227,29.6394,23.7182
2022-05-24,27.5784,30.7779,29.5459,23.6751
2022-05-23,28.6575,31.0933,29.472,23.6399
2022-05-20,29.4669,31.3501,29.3761,23.6016
2022-05-19,27.6329,31.672,29.2781,23.5524
2022-05-18,26.2385,32.0841,29.1921,23.5132
2022-05-17,28.2178,32.5521,29.1401,23.4814
2022-05-16,29.1149,32.7968,29.0863,23.4448
2022-05-13,32.3963,32.9902,29.0635,23.4053
2022-05-12,31.1216,33.1738,28.9594,23.3571
2022-05-11,35.0146,33.2573,28.8543,23.3211
2022-05-10,35.9089,33.1993,28.7515,23.2789
2022-05-09,32.8002,33.2437,28.6366,23.2205
2022-05-06,32.7671,33.2568,28.5388,23.1765
2022-05-05,31.2319,33.261,28.4354,23.1237
2022-05-04,31.3834,33.3609,28.3583,23.0921
2022-05-03,34.0677,33.3586,28.2915,23.0624
2022-05-02,30.7732,33.2531,28.1996,23.0163
2022-04-29,31.2799,33.1699,28.1922,22.9672
2022-04-28,32.7446,33.0854,28.1942,22.9156
2022-04-27,32.7093,33.0316,28.1715,22.8662
2022-04-26,31.4602,32.8707,28.1045,22.815
2022-04-25,28.345,32.6783,28.0906,22.7804
2022-04-22,24.5398,32.5396,28.0952,22.7467
2022-04-21,24.9786,32.512,28.1729,22.7311
2022-04-20,27.4395,32.4972,28.1219,22.7067
2022-04-19,26.7531,32.4745,28.0542,22.6704
2022-04-14,28.843,32.426,27.9931,22.6403
2022-04-13,30.0143,32.3019,27.8935,22.598
2022-04-12,30.2283,32.1834,27.7845,22.5507
2022-04-11,30.7314,32.119,27.6599,22.5008
2022-04-08,32.5322,32.0926,27.5194,22.455
2022-04-07,32.238,32.0025,27.3621,22.4092
2022-04-06,29.1551,31.9245,27.2062,22.3491
2022-04-05,26.725,31.9705,27.0761,22.297
2022-04-04,28.5011,32.0896,26.9797,22.2529
2022-04-01,28.9898,32.004,26.8665,22.2036
2022-03-31,28.1001,31.8323,26.7572,22.1529
2022-03-30,26.582,31.7174,26.6482,22.1087
2022-03-29,30.5027,31.625,26.5464,22.0671
2022-03-28,32.2262,31.4157,26.4011,22.0097
2022-03-25,31.1577,31.1991,26.2436,21.9475
2022-03-24,30.7746,30.9452,26.1006,21.8913
2022-03-23,27.484,30.6957,25.9678,21.8358
2022-03-22,28.3402,30.5418,25.8691,21.7977
2022-03-21,29.9048,30.4258,25.7618,21.7583
2022-03-18,32.017,30.2402,25.6319,21.712
2022-03-17,36.0127,30.0018,25.4733,21.6524
2022-03-16,41.1972,29.6366,25.276,21.5839
2022-03-15,40.6415,29.1855,25.028,21.4902
2022-03-14,41.3743,28.756,24.7891,21.398
2022-03-11,43.3509,28.3139,24.5351,21.3032
2022-03-10,41.497,27.8506,24.2645,21.2034
2022-03-09,45.5607,27.4021,24.0209,21.1073
2022-03-08,48.2373,26.8841,23.7288,20.9953
2022-03-07,49.6395,26.3001,23.4163,20.8726
2022-03-04,40.4507,25.7281,23.1183,20.7485
2022-03-03,38.7848,25.3758,22.9213,20.6615
2022-03-02,41.5796,25.1368,22.7352,20.5819
2022-03-01,35.293,24.7449,22.5222,20.4943
2022-02-28,32.1184,24.4513,22.3795,20.4342
2022-02-25,38.1264,24.3037,22.3016,20.3893
2022-02-24,33.4572,24.0296,22.1426,20.3371
2022-02-23,32.9766,23.8208,22.0599,20.2916
2022-02-22,36.2245,23.6098,21.9705,20.2465
2022-02-21,31.2669,23.3556,21.8407,20.1888
2022-02-18,28.7931,23.2244,21.7676,20.1524
2022-02-17,26.6138,23.146,21.7286,20.1447
2022-02-16,27.055,23.2146,21.6708,20.1266
2022-02-15,30.0547,23.3031,21.6188,20.1041
2022-02-14,24.6637,23.3114,21.5245,20.0764
2022-02-11,21.8414,23.3384,21.5059,20.0645
2022-02-10,21.4117,23.5029,21.5426,20.0591
2022-02-09,23.1564,23.6508,21.5931,20.0635
2022-02-08,24.2433,23.8339,21.5932,20.0582
2022-02-07,26.3008,23.7466,21.5673,20.045
2022-02-04,24.3287,23.6339,21.5213,20.0204
2022-02-03,22.6402,23.5602,21.4826,20.0033
2022-02-02,24.0892,23.485,21.4636,19.9976
2022-02-01,27.0084,23.3856,21.4263,19.9911
2022-01-31,29.4111,23.2008,21.3526,19.9676
2022-01-28,28.028,22.9462,21.2635,19.9317
2022-01-27,28.3362,22.7216,21.1692,19.9021
2022-01-26,31.453,22.4879,21.0614,19.8743
2022-01-25,32.6811,22.1817,20.9288,19.8393
2022-01-24,24.2217,21.8699,20.7717,19.8047
2022-01-21,20.4033,21.729,20.7041,19.8171
2022-01-20,22.3578,21.6822,20.6878,19.8515
2022-01-19,21.9614,21.579,20.6392,19.8658
2022-01-18,20.0374,21.4678,20.5955,19.8851
2022-01-17,21.3963,21.3865,20.5861,19.8973
2022-01-14,18.4609,21.288,20.5505,19.9158
2022-01-13,18.3029,21.2559,20.5468,19.9272
2022-01-12,19.7861,21.2398,20.5427,19.9337
2022-01-11,22.543,21.1964,20.5464,19.9357
2022-01-10,20.6232,21.0977,20.5422,19.9325
2022-01-07,20.0961,21.0237,20.5207,19.9378
2022-01-06,17.7553,20.9447,20.5036,19.9471
2022-01-05,18.6397,20.9153,20.5061,19.9549
2022-01-04,19.1696,20.8705,20.4777,19.9647
2022-01-03,19.2677,20.8221,20.4471,19.9758
2021-12-30,20.1834,20.7564,20.4248,19.9867
2021-12-29,19.0728,20.6785,20.3957,19.9881
2021-12-28,19.6616,20.6397,20.3805,19.9958
2021-12-27,19.0369,20.5734,20.3628,20.003
2021-12-23,21.0421,20.5325,20.3549,20.0276
2021-12-22,22.8332,20.5085,20.3366,20.0428
2021-12-21,26.835,20.4667,20.3105,20.0449
2021-12-20,21.9842,20.3336,20.2405,20.0271
2021-12-17,20.6116,20.2995,20.2301,20.026
2021-12-16,24.7416,20.3077,20.2165,20.0362
2021-12-15,24.418,20.2995,20.1639,20.0381
2021-12-14,23.0184,20.2557,20.1333,20.0494
2021-12-13,22.4272,20.299,20.0884,20.0439
2021-12-10,23.516,20.3312,20.0397,20.0362
2021-12-09,24.708,20.3258,20.0037,20.0267
2021-12-08,24.873,20.3108,19.9718,20.0148
2021-12-07,30.041,20.3112,19.968,20.0054
2021-12-06,31.4794,20.1271,19.922,19.9797
2021-12-03,30.469,19.9344,19.8017,19.9364
2021-12-02,26.0164,19.7375,19.6834,19.8946
2021-12-01,30.0679,19.6734,19.6001,19.8727
2021-11-30,28.8033,19.5822,19.4794,19.8381
2021-11-29,32.3129,19.5355,19.3709,19.8062
2021-11-26,19.8777,19.3526,19.2273,19.7622
2021-11-25,20.666,19.3881,19.2282,19.7695
2021-11-24,20.6416,19.4086,19.1947,19.772
2021-11-23,18.8846,19.4051,19.1695,19.7811
2021-11-22,19.1166,19.4422,19.1482,19.7859
2021-11-19,17.7692,19.467,19.1228,19.7904
2021-11-18,16.6822,19.5045,19.1224,19.8024
2021-11-17,16.7973,19.5807,19.1374,19.8211
2021-11-16,16.6495,19.6168,19.1389,19.8439
2021-11-15,16.1449,19.6349,19.1489,19.8631
2021-11-12,17.0902,19.6758,19.1542,19.8864
2021-11-11,17.1761,19.6734,19.1569,19.9016
2021-11-10,18.062,19.6793,19.1706,19.9219
2021-11-09,17.1981,19.6933,19.1657,19.9392
2021-11-08,16.4029,19.6993,19.1886,19.963
2021-11-05,15.9723,19.7233,19.2322,19.9906
2021-11-04,16.4717,19.7857,19.2433,20.0192
2021-11-03,16.8576,19.8129,19.2403,20.0536
2021-11-02,17.4961,19.8376,19.2358,20.0817
2021-11-01,17.6164,19.8456,19.2213,20.1141
2021-10-29,17.6094,19.8963,19.1967,20.1492
2021-10-28,16.9191,19.9867,19.1871,20.1907
2021-10-27,16.1505,20.0177,19.1903,20.2541
2021-10-26,16.2815,20.0625,19.206,20.3304
2021-10-25,16.4007,20.0969,19.2203,20.4067
2021-10-22,16.7516,20.0849,19.2301,20.4913
2021-10-21,15.9796,20.072,19.245,20.5773
2021-10-20,16.2901,20.0932,19.2637,20.6444
2021-10-19,17.1324,20.1129,19.2885,20.7062
2021-10-18,16.3486,20.1213,19.3082,20.7503
2021-10-15,16.9918,20.1521,19.3163,20.8009
2021-10-14,19.8415,20.1772,19.3246,20.8507
2021-10-13,20.7442,20.1646,19.3091,20.8819
2021-10-12,20.1795,20.1542,19.2924,20.9054
2021-10-11,20.2799,20.1474,19.283,20.9259
2021-10-08,21.0201,20.1606,19.2837,20.9522
2021-10-07,24.3318,20.1253,19.2945,20.9611
2021-10-06,22.2252,20.0283,19.296,20.9555
2021-10-05,25.1857,20.0109,19.2869,20.9556
2021-10-04,24.0389,19.8779,19.2531,20.9438
2021-10-01,23.2428,19.7481,19.2081,20.9436
2021-09-30,23.9588,19.6815,19.2092,20.9505
2021-09-29,24.8941,19.6329,19.209,20.9555
2021-09-28,20.8349,19.6248,19.1856,20.961
2021-09-27,21.8467,19.7168,19.1623,20.985
2021-09-24,20.6244,19.669,19.1277,21.0037
2021-09-23,22.8073,19.6293,19.1252,21.0255
2021-09-22,25.5096,19.5269,19.0962,21.0418
2021-09-21,26.4695,19.3767,19.0693,21.0471
2021-09-20,23.1662,19.2063,19.0039,21.0525
2021-09-17,21.6515,19.102,18.9785,21.0732
2021-09-16,21.6946,19.0683,18.9508,21.0952
2021-09-15,20.4635,18.9807,18.9176,21.1209
2021-09-14,20.7429,18.934,18.9051,21.1586
2021-09-13,20.357,18.8542,18.8805,21.1662
2021-09-10,19.6412,18.7785,18.8588,21.1749
2021-09-09,20.4927,18.7402,18.84,21.1843
2021-09-08,18.6,18.6941,18.8278,21.1908
2021-09-07,17.5551,18.6611,18.8526,21.2067
2021-09-06,18.1919,18.6629,18.8492,21.2314
2021-09-03,16.9721,18.6327,18.8284,21.2586
2021-09-02,17.4679,18.6403,18.8158,21.2943
2021-09-01,18.7654,18.6619,18.803,21.3382
2021-08-31,17.498,18.6381,18.7784,21.3749
2021-08-30,17.6003,18.6778,18.774,21.4317
2021-08-27,19.0944,18.7411,18.7597,21.4774
2021-08-26,17.8302,18.7008,18.7304,21.5075
2021-08-25,18.0943,18.6677,18.7187,21.5446
2021-08-24,17.8943,18.6339,18.7088,21.5791
2021-08-23,20.1509,18.5971,18.6988,21.6082
2021-08-20,22.1296,18.4971,18.6771,21.6218
2021-08-19,18.4705,18.3876,18.6405,21.6213
2021-08-18,18.3901,18.3628,18.6393,21.6408
2021-08-17,18.0025,18.3495,18.6265,21.6597
2021-08-16,15.8002,18.3437,18.6353,21.6851
2021-08-13,16.1073,18.3752,18.655,21.718
2021-08-12,17.038,18.418,18.6699,21.7415
2021-08-11,17.2752,18.4342,18.6764,21.7665
2021-08-10,17.5508,18.4641,18.6876,21.7885
2021-08-09,17.8883,18.4951,18.6867,21.8137
2021-08-06,18.2492,18.4806,18.6835,21.833
2021-08-05,19.2129,18.4721,18.6765,21.8498
2021-08-04,20.2233,18.4535,18.6706,21.8665
2021-08-03,19.8395,18.4306,18.6554,21.8821
2021-08-02,20.9392,18.4186,18.6459,21.8995
2021-07-30,19.2556,18.4068,18.6332,21.9155
2021-07-29,19.4809,18.4638,18.6432,21.9343
2021-07-28,21.3563,18.5637,18.6574,21.9567
2021-07-27,18.5323,18.5628,18.6946,21.9743
2021-07-26,17.5527,18.6282,18.7302,22.0068
2021-07-23,19.9131,18.6681,18.7716,22.0487
2021-07-22,21.5241,18.7368,18.7906,22.066
2021-07-21,24.4923,18.7851,18.797,22.0775
2021-07-20,25.4361,18.7464,18.8207,22.0804
2021-07-19,19.4537,18.6077,18.7873,22.081
2021-07-16,18.642,18.5863,18.807,22.0965
2021-07-15,17.6841,18.6211,18.8519,22.1187
2021-07-14,17.9989,18.6655,18.892,22.1419
2021-07-13,17.9521,18.7619,18.9169,22.1668
2021-07-12,17.9506,18.8014,18.9626,22.1973
2021-07-09,19.9652,18.855,19.0014,22.2327
2021-07-08,17.3168,18.8333,19.011,22.2631
2021-07-07,18.1255,18.8545,19.0394,22.3096
2021-07-06,16.7545,18.8762,19.0587,22.3456
2021-07-05,16.5747,18.9068,19.1033,22.3923
2021-07-02,17.7267,18.9391,19.1622,22.4478
2021-07-01,18.1849,18.9397,19.1961,22.4952
2021-06-30,16.9495,18.9616,19.2187,22.5342
2021-06-29,17.6455,19.0442,19.2556,22.5768
2021-06-28,16.6823,19.0355,19.2929,22.6193
2021-06-25,17.3518,19.0241,19.3533,22.663
2021-06-24,18.549,18.9912,19.42,22.7141
2021-06-23,17.5733,18.9441,19.5077,22.7667
2021-06-22,19.4847,18.9188,19.6221,22.8344
2021-06-21,20.7634,18.8701,19.6865,22.8972
2021-06-18,17.0804,18.7784,19.7466,22.9529
2021-06-17,16.1772,18.76,19.8068,23.0318
2021-06-16,16.4055,18.7697,19.9051,23.0924
2021-06-15,16.0495,18.7837,19.9542,23.1619
2021-06-14,15.1511,18.8006,19.993,23.2266
2021-06-11,16.6565,18.8571,20.0443,23.3062
2021-06-10,17.2322,18.8934,20.0952,23.381
2021-06-09,17.7247,18.9157,20.1424,23.4564
2021-06-08,17.711,18.9035,20.1895,23.5392
2021-06-07,17.376,18.9269,20.2093,23.634
2021-06-04,18.2446,18.9348,20.2465,23.7086
2021-06-03,17.8481,18.9219,20.2835,23.7558
2021-06-02,18.7726,18.9186,20.3249,23.8034
2021-06-01,19.0981,18.911,20.3424,23.8408
2021-05-31,17.1662,18.8783,20.3616,23.876
2021-05-28,17.8227,18.8864,20.4043,23.9179
2021-05-27,18.2823,18.8809,20.4781,23.9651
2021-05-26,19.0816,18.8877,20.5437,24.0147
2021-05-25,19.2364,18.8803,20.5866,24.0587
2021-05-24,20.3521,18.8732,20.618,24.1063
2021-05-21,22.1023,18.8595,20.6316,24.1409
2021-05-20,24.4802,18.8227,20.6421,24.1701
2021-05-19,21.3082,18.751,20.6493,24.1843
2021-05-18,21.8052,18.8264,20.7089,24.2157
2021-05-17,19.5457,18.8321,20.7071,24.2542
2021-05-14,23.3498,18.8751,20.7167,24.3053
2021-05-13,23.9387,18.8444,20.6946,24.3283
2021-05-12,22.5573,18.8088,20.6725,24.3532
2021-05-11,18.5019,18.8949,20.6722,24.3792
2021-05-10,18.3838,18.9668,20.7233,24.4431
2021-05-07,20.3775,19.0277,20.7461,24.5148
2021-05-06,19.9042,19.0828,20.7425,24.567
2021-05-05,22.8185,19.1185,20.7488,24.5981
2021-05-04,19.9314,19.0719,20.735,24.6264
2021-05-03,20.6309,19.1237,20.7438,24.6654
2021-04-30,18.8768,19.1477,20.7507,24.7126
2021-04-29,18.377,19.1887,20.7789,24.7763
2021-04-28,19.2123,19.2242,20.8081,24.8408
2021-04-27,18.2841,19.2412,20.8451,24.9172
2021-04-26,18.1883,19.2997,20.8631,24.9797
2021-04-23,17.7562,19.3853,20.8836,25.0299
2021-04-22,19.2813,19.4526,20.9138,25.0909
2021-04-21,21.0797,19.4758,20.9346,25.1526
2021-04-20,17.2101,19.467,20.9487,25.229
2021-04-19,16.1131,19.5503,20.991,25.3216
2021-04-16,15.7081,19.6824,21.0496,25.433
2021-04-15,16.1903,19.8487,21.1015,25.563
2021-04-14,16.3086,20.0714,21.1622,25.6635
2021-04-13,17.0514,20.3254,21.2229,25.763
2021-04-12,16.1768,20.5029,21.2839,25.8679
2021-04-09,16.1602,20.7148,21.3551,25.983
2021-04-08,16.6645,20.8536,21.4248,26.0803
2021-04-07,17.1057,21.0404,21.5089,26.1924
2021-04-06,16.8956,21.1246,21.5765,26.3052
2021-04-01,17.9742,21.1854,21.6637,26.4228
2021-03-31,18.4722,21.2315,21.7477,26.523
2021-03-30,18.348,21.297,21.843,26.6326
2021-03-29,17.112,21.369,21.9871,26.7589
2021-03-26,18.8836,21.4755,22.1683,26.895
2021-03-25,17.7712,21.4917,22.333,27.0139
2021-03-24,17.5964,21.5581,22.5308,27.1653
2021-03-23,17.6826,21.6452,22.7374,27.3389
2021-03-22,18.395,21.7312,22.888,27.4854
2021-03-19,17.4622,21.7738,23.0216,27.6404
2021-03-18,17.5706,21.8449,23.1285,27.7806
2021-03-17,17.5488,21.9223,23.2427,27.9681
2021-03-16,18.6234,22.0753,23.3617,28.1707
2021-03-15,18.7087,22.1997,23.4517,28.4096
2021-03-12,18.8846,22.2929,23.5308,28.674
2021-03-11,19.6671,22.3628,23.5952,28.9075
2021-03-10,20.2608,22.4036,23.6669,29.1713
2021-03-09,20.8952,22.4615,23.6967,29.3876
2021-03-08,25.0782,22.5477,23.7172,29.5901
2021-03-05,22.0916,22.5914,23.6889,29.7048
2021-03-04,21.6956,22.5821,23.6904,29.8317
2021-03-03,21.8134,22.5584,23.7132,29.9613
2021-03-02,22.1594,22.5448,23.7448,30.0461
2021-03-01,26.8632,22.5363,23.7754,30.09
2021-02-26,22.0962,22.4494,23.7695,30.1016
2021-02-25,21.4258,22.4798,23.8167,30.147
2021-02-24,23.1325,22.4645,23.8678,30.2058
2021-02-23,21.6934,22.4022,23.8971,30.2822
2021-02-22,20.4844,22.3791,23.9492,30.3342
2021-02-19,22.5234,22.3981,24.0126,30.3505
2021-02-18,21.829,22.364,24.0654,30.3702
2021-02-17,20.9294,22.3537,24.1306,30.3735
2021-02-16,20.1531,22.369,24.1929,30.3528
2021-02-15,20.0616,22.392,24.2725,30.3285
2021-02-12,21.2082,22.4491,24.3707,30.2998
2021-02-11,22.4678,22.4265,24.3851,30.2703
2021-02-10,21.1232,22.3818,24.3859,30.2323
2021-02-09,20.4375,22.3749,24.3946,30.2001
2021-02-08,20.6436,22.3935,24.4114,30.1713
2021-02-05,21.3727,22.4304,24.4306,30.1386
2021-02-04,22.7195,22.4318,24.4542,30.1048
2021-02-03,24.0219,22.4168,24.477,30.0687
2021-02-02,27.3261,22.3544,24.4957,30.0259
2021-02-01,29.0082,22.2529,24.5069,29.9685
2021-01-29,25.9287,22.1205,24.4961,29.9069
2021-01-28,26.7698,22.0648,24.5539,29.8612
2021-01-27,23.0994,21.9954,24.5763,29.8193
2021-01-26,26.0059,21.9959,24.6115,29.7955
2021-01-25,21.317,21.9774,24.6226,29.7571
2021-01-22,19.9362,22.0284,24.6766,29.7295
2021-01-21,20.2772,22.1419,24.7289,29.7106
2021-01-20,21.749,22.2638,24.7617,29.6982
2021-01-19,21.9473,22.3889,24.7642,29.6618
2021-01-18,22.4344,22.6052,24.7783,29.6267
2021-01-15,19.6932,22.8612,24.7851,29.5859
2021-01-14,21.0937,23.1743,24.8315,29.5544
2021-01-13,21.9516,23.5034,24.8609,29.515
2021-01-12,21.9797,23.8295,24.8613,29.47
2021-01-11,20.5276,24.0448,24.8742,29.4262
2021-01-08,21.0154,24.2693,24.8967,29.3922
2021-01-07,21.4423,24.4121,24.9253,29.3578
2021-01-06,25.1986,24.5631,24.9377,29.3229
2021-01-05,24.8416,24.6481,24.9104,29.2716
2021-01-04,23.369,24.7038,24.8959,29.2244
2020-12-30,22.3828,24.7688,24.9033,29.1871
2020-12-29,21.7054,24.8275,24.9215,29.1544
2020-12-28,23.1531,24.9302,24.9538,29.1282
2020-12-23,25.2067,24.932,24.9617,29.0914
2020-12-22,27.2641,24.8867,24.9605,29.0412
2020-12-21,21.6252,24.7864,24.9454,28.988
2020-12-18,20.5099,24.7987,24.9958,28.9499
2020-12-17,21.1372,24.8681,25.0709,28.9144
2020-12-16,21.7301,24.9448,25.1019,28.8742
2020-12-15,22.521,25.0145,25.1286,28.836
2020-12-14,23.6144,25.0896,25.1557,28.7932
2020-12-11,20.6617,25.1536,25.1754,28.7473
2020-12-10,20.0186,25.2711,25.2019,28.7113
2020-12-09,20.5353,25.392,25.2438,28.6836
2020-12-08,21.4355,25.5193,25.2733,28.6602
2020-12-07,20.8186,25.6271,25.3011,28.6354
2020-12-04,21.3172,25.7669,25.3487,28.6122
2020-12-03,21.694,25.9074,25.4036,28.5866
2020-12-02,21.3014,26.0169,25.4624,28.5564
2020-12-01,22.9149,26.153,25.5386,28.5326
2020-11-30,20.0788,26.2923,25.5808,28.5019
2020-11-27,20.2346,26.3438,25.6643,28.4892
2020-11-26,20.7778,26.39,25.7665,28.4718
2020-11-25,21.3674,26.4143,25.8544,28.4414
2020-11-24,22.4894,26.4293,25.9201,28.4071
2020-11-23,21.4393,26.4308,25.9712,28.366
2020-11-20,21.9714,26.4765,26.0395,28.3286
2020-11-19,20.9029,26.5372,26.0957,28.2902
2020-11-18,22.2529,26.6369,26.188,28.259
2020-11-17,22.3849,26.7609,26.2827,28.2225
2020-11-16,23.1431,26.8716,26.4037,28.1839
2020-11-13,23.3023,27.043,26.524,28.1408
2020-11-12,23.1256,27.1572,26.6379,28.0957
2020-11-11,25.0803,27.227,26.7747,28.0494
2020-11-10,23.8631,27.2678,26.8373,27.9989
2020-11-09,25.6153,27.3249,26.9365,27.9547
2020-11-06,26.3725,27.3158,27.0025,27.9027
2020-11-05,28.0023,27.2595,27.0892,27.8496
2020-11-04,32.763,27.1395,27.1628,27.789
2020-11-03,35.233,26.9514,27.1961,27.709
2020-11-02,35.3472,26.7089,27.2279,27.6198
2020-10-30,37.5504,26.4887,27.2886,27.5301
2020-10-29,38.2587,26.2184,27.2733,27.4315
2020-10-28,32.7397,25.893,27.1912,27.3298
2020-10-27,31.7557,25.7036,27.1613,27.254
2020-10-26,28.157,25.5242,27.1249,27.1822
2020-10-23,28.9879,25.4384,27.1223,27.1245
2020-10-22,29.4488,25.3124,27.109,27.0613
2020-10-21,27.6293,25.1728,27.1106,26.9948
2020-10-20,26.6186,25.0879,27.1411,26.9367
2020-10-19,25.3165,25.0378,27.1759,26.884
