Date,IV on 6m EUR/USD Options Mid Price,SMAVG (50),SMAVG (100),SMAVG (250)
2022-08-08,9.38,9.42535,8.74795,7.16231
2022-08-05,9.495,9.39145,8.72855,7.14651
2022-08-04,9.705,9.3606,8.70893,7.13047
2022-08-03,10.0825,9.3313,8.68433,7.11385
2022-08-02,9.785,9.29675,8.65987,7.0955
2022-08-01,9.5975,9.26805,8.64433,7.0785
2022-07-29,9.9025,9.2423,8.63255,7.06181
2022-07-28,10.0725,9.21215,8.61878,7.0437
2022-07-27,10.1575,9.18285,8.6004,7.02481
2022-07-26,10.385,9.1554,8.58002,7.00622
2022-07-25,10.245,9.1185,8.56322,6.98688
2022-07-22,10.4125,9.09235,8.55513,6.96796
2022-07-21,10.4,9.0681,8.5393,6.94825
2022-07-20,10.495,9.0501,8.5156,6.92865
2022-07-19,10.565,9.0131,8.4919,6.90873
2022-07-18,10.77,8.9811,8.4712,6.88849
2022-07-15,10.7675,8.95365,8.43895,6.86741
2022-07-14,11.16,8.9207,8.39987,6.8465
2022-07-13,10.5275,8.878,8.3595,6.82398
2022-07-12,10.5225,8.84115,8.32238,6.80411
2022-07-11,10.635,8.8088,8.28605,6.78442
2022-07-08,10.0825,8.7744,8.25027,6.76382
2022-07-07,10.0775,8.74625,8.2188,6.74533
2022-07-06,10.4125,8.72335,8.18688,6.72692
2022-07-05,10.02,8.68755,8.15007,6.70721
2022-07-04,9.2025,8.6504,8.11707,6.68943
2022-07-01,9.345,8.62125,8.096,6.67518
2022-06-30,8.955,8.58875,8.07275,6.65982
2022-06-29,8.79,8.5619,8.04995,6.64614
2022-06-28,8.455,8.53525,8.0274,6.63322
2022-06-27,8.3175,8.51505,8.00835,6.62158
2022-06-24,8.5475,8.4979,7.99228,6.61027
2022-06-23,8.7825,8.47535,7.9725,6.59808
2022-06-22,8.805,8.4481,7.94943,6.58543
2022-06-21,8.8375,8.4185,7.92317,6.57255
2022-06-20,9.22,8.38835,7.89605,6.5594
2022-06-17,9.3725,8.353,7.86505,6.54448
2022-06-16,9.415,8.31685,7.83287,6.52909
2022-06-15,9.2525,8.28285,7.79962,6.51431
2022-06-14,9.42,8.2552,7.76625,6.50016
2022-06-13,9.35,8.2212,7.7323,6.48512
2022-06-10,8.4775,8.1822,7.6994,6.46984
2022-06-09,7.9875,8.15755,7.6734,6.45791
2022-06-08,7.99,8.1431,7.65188,6.44842
2022-06-07,7.9575,8.1255,7.63018,6.43914
2022-06-06,7.855,8.11005,7.60945,6.43015
2022-06-03,7.79,8.10305,7.58798,6.42169
2022-06-02,7.82,8.0945,7.5666,6.41359
2022-06-01,7.8925,8.0861,7.54437,6.40545
2022-05-31,7.775,8.0765,7.52147,6.39658
2022-05-30,7.685,8.07055,7.5006,6.38756
2022-05-27,7.9525,8.06565,7.48077,6.37876
2022-05-26,8.24,8.05725,7.45792,6.36887
2022-05-25,8.355,8.03735,7.4324,6.35803
2022-05-24,8.35,8.023,7.40462,6.34725
2022-05-23,8.31,8.0206,7.3773,6.33655
2022-05-20,8.395,8.0228,7.3507,6.32637
2022-05-19,8.6075,8.0254,7.3223,6.31635
2022-05-18,8.785,8.01795,7.29448,6.30576
2022-05-17,8.54,8.00465,7.26557,6.29438
2022-05-16,8.9375,8.00795,7.23908,6.28392
2022-05-13,9.2,8.0179,7.20915,6.27193
2022-05-12,9.5,8.0105,7.17675,6.25887
2022-05-11,8.645,7.9811,7.1413,6.24477
2022-05-10,8.965,7.9707,7.11475,6.23415
2022-05-09,9.3975,7.9613,7.0853,6.22259
2022-05-06,9.12,7.92425,7.05183,6.20905
2022-05-05,9.025,7.87905,7.02068,6.19675
2022-05-04,8.685,7.841,6.9901,6.18519
2022-05-03,8.905,7.8036,6.9666,6.17541
2022-05-02,8.915,7.7633,6.94105,6.16437
2022-04-29,8.675,7.72615,6.9151,6.15249
2022-04-28,8.9325,7.69135,6.8924,6.14167
2022-04-27,8.6225,7.6504,6.8667,6.13028
2022-04-26,8.1625,7.6126,6.84352,6.12059
2022-04-25,7.745,7.58375,6.82492,6.11264
2022-04-22,7.72,7.57075,6.80993,6.1059
2022-04-21,7.6125,7.55675,6.79563,6.09938
2022-04-20,7.4575,7.538,6.7829,6.09271
2022-04-19,7.445,7.51955,6.77322,6.08638
2022-04-18,7.46,7.50165,6.76423,6.0798
2022-04-15,7.42,7.48665,6.753,6.07308
2022-04-14,7.42,7.46965,6.74437,6.06626
2022-04-13,7.325,7.45075,6.73252,6.05936
2022-04-12,7.33,7.42785,6.72372,6.05294
2022-04-11,7.4525,7.40375,6.71462,6.04654
2022-04-08,7.565,7.3771,6.70472,6.03997
2022-04-07,7.715,7.3489,6.69225,6.03307
2022-04-06,7.87,7.3164,6.6764,6.02571
2022-04-05,7.72,7.2773,6.65942,6.01807
2022-04-04,7.4,7.2434,6.64552,6.01109
2022-04-01,7.245,7.2166,6.63217,6.00529
2022-03-31,7.265,7.18925,6.6194,5.99977
2022-03-30,7.11,7.16065,6.60572,5.99437
2022-03-29,7.185,7.13485,6.5929,5.98957
2022-03-28,7.505,7.10885,6.57748,5.98457
2022-03-25,7.3625,7.0729,6.5584,5.97837
2022-03-24,7.4,7.0387,6.54085,5.97302
2022-03-23,7.4125,7.00265,6.5229,5.96774
2022-03-22,7.4775,6.96645,6.505,5.96293
2022-03-21,7.44,6.93065,6.48765,5.95758
2022-03-18,7.5325,6.8959,6.4708,5.95226
2022-03-17,7.245,6.8586,6.45315,5.94621
2022-03-16,7.6375,6.82745,6.43643,5.94119
2022-03-15,8.23,6.78625,6.41558,5.93502
2022-03-14,8.42,6.734,6.38875,5.9271
2022-03-11,8.525,6.6786,6.36007,5.9184
2022-03-10,8.235,6.6192,6.32867,5.90914
2022-03-09,8.12,6.571,6.30025,5.9015
2022-03-08,8.705,6.5265,6.27318,5.89426
2022-03-07,9.435,6.4702,6.2415,5.88482
2022-03-04,8.83,6.4004,6.20232,5.87206
2022-03-03,8.03,6.343,6.16895,5.86178
2022-03-02,8.125,6.3015,6.14353,5.85482
2022-03-01,8.495,6.2588,6.11755,5.84748
2022-02-28,7.545,6.2093,6.08822,5.83907
2022-02-25,6.86,6.1794,6.06738,5.83441
2022-02-24,7.1225,6.1623,6.05155,5.8326
2022-02-23,6.815,6.1392,6.03342,5.82911
2022-02-22,6.89,6.1296,6.0195,5.82741
2022-02-21,7.0575,6.1188,6.00257,5.82537
2022-02-18,6.935,6.10405,5.98403,5.823
2022-02-17,6.885,6.09345,5.96688,5.82078
2022-02-16,6.7325,6.083,5.9506,5.81875
2022-02-15,6.72,6.07445,5.93612,5.81678
2022-02-14,7.095,6.0661,5.92007,5.81501
2022-02-11,7.02,6.0491,5.90002,5.81204
2022-02-10,6.675,6.0345,5.88095,5.8104
2022-02-09,6.535,6.0278,5.86575,5.81041
2022-02-08,6.55,6.0269,5.85285,5.80932
2022-02-07,6.71,6.0268,5.84025,5.80812
2022-02-04,6.57,6.01935,5.82705,5.80605
2022-02-03,6.475,6.0191,5.81375,5.8041
2022-02-02,6.18,6.0143,5.8011,5.8026
2022-02-01,6.125,6.0196,5.79035,5.80276
2022-01-31,6.12,6.0255,5.78,5.80281
2022-01-28,6.155,6.03235,5.7708,5.80259
2022-01-27,6.09,6.0356,5.76097,5.80228
2022-01-26,5.915,6.0364,5.7521,5.80237
2022-01-25,6.025,6.04155,5.74528,5.80278
2022-01-24,6.06,6.04765,5.73618,5.80265
2022-01-21,5.8775,6.04775,5.72703,5.80209
2022-01-20,5.835,6.04955,5.7204,5.80264
2022-01-19,5.82,6.0508,5.7147,5.80368
2022-01-18,5.885,6.05095,5.71002,5.80466
2022-01-17,5.7075,6.0461,5.70477,5.80549
2022-01-14,5.6525,6.0439,5.70145,5.80711
2022-01-13,5.5975,6.043,5.6991,5.80867
2022-01-12,5.6025,6.04315,5.6974,5.81083
2022-01-11,5.6875,6.04355,5.6953,5.81279
2022-01-10,5.7025,6.04465,5.6925,5.81415
2022-01-07,5.6675,6.0457,5.68977,5.81577
2022-01-06,5.6875,6.0477,5.68795,5.81785
2022-01-05,5.5775,6.0454,5.68657,5.81968
2022-01-04,5.6175,6.0449,5.68575,5.82162
2022-01-03,5.65,6.0435,5.68493,5.82376
2021-12-31,5.555,6.04155,5.68267,5.82647
2021-12-30,5.825,6.03815,5.68087,5.82948
2021-12-29,5.895,6.0295,5.67613,5.83145
2021-12-28,5.89,6.01985,5.67228,5.83325
2021-12-27,5.945,6.0128,5.66888,5.83545
2021-12-24,5.96,6.00425,5.66458,5.838
2021-12-23,5.955,5.9949,5.65982,5.83993
2021-12-22,5.99,5.98555,5.65527,5.84164
2021-12-21,6.02,5.9763,5.65053,5.84333
2021-12-20,6.05,5.96715,5.64537,5.84503
2021-12-17,6.005,5.95535,5.63987,5.84687
2021-12-16,5.9675,5.9408,5.63522,5.8486
2021-12-15,6.335,5.92765,5.63085,5.85049
2021-12-14,6.35,5.9094,5.6231,5.85147
2021-12-13,6.32,5.88635,5.6156,5.85193
2021-12-10,6.405,5.864,5.60725,5.85223
2021-12-09,6.3625,5.8403,5.5978,5.85258
2021-12-08,6.305,5.8182,5.58892,5.85301
2021-12-07,6.3025,5.7978,5.58073,5.85379
2021-12-06,6.245,5.77405,5.57345,5.85473
2021-12-03,6.29,5.75095,5.5674,5.85635
2021-12-02,6.34,5.7274,5.55955,5.85758
2021-12-01,6.49,5.7037,5.5515,5.85927
2021-11-30,6.545,5.6788,5.5422,5.86
2021-11-29,6.3375,5.6537,5.5322,5.86047
2021-11-26,6.5575,5.63475,5.52373,5.86184
2021-11-25,6.235,5.6084,5.51315,5.86258
2021-11-24,6.445,5.5879,5.507,5.86391
2021-11-23,6.42,5.5611,5.4984,5.86415
2021-11-22,6.4625,5.5345,5.4897,5.86456
2021-11-19,6.3175,5.50925,5.47998,5.86548
2021-11-18,6.13,5.48635,5.47205,5.86696
2021-11-17,6.1725,5.4678,5.46795,5.86888
2021-11-16,6.33,5.449,5.46338,5.87031
2021-11-15,6.065,5.4247,5.45668,5.87092
2021-11-12,5.9675,5.4063,5.45132,5.87166
2021-11-11,5.8975,5.39125,5.4466,5.87253
2021-11-10,5.8275,5.3786,5.44378,5.87354
2021-11-09,5.6425,5.3691,5.4422,5.87496
2021-11-08,5.5975,5.36345,5.44287,5.87655
2021-11-05,5.6075,5.359,5.4443,5.8783
2021-11-04,5.605,5.3552,5.44588,5.87989
2021-11-03,5.6225,5.35165,5.44767,5.88177
2021-11-02,5.7425,5.34705,5.4482,5.88362
2021-11-01,5.755,5.34035,5.44597,5.88523
2021-10-29,5.7675,5.33385,5.44327,5.88655
2021-10-28,5.5725,5.3282,5.4404,5.88866
2021-10-27,5.5525,5.32775,5.43997,5.89173
2021-10-26,5.5475,5.3266,5.44105,5.89446
2021-10-25,5.5525,5.32635,5.44233,5.89721
2021-10-22,5.385,5.3238,5.44445,5.90122
2021-10-21,5.3925,5.3236,5.4495,5.9068
2021-10-20,5.4125,5.32275,5.45517,5.91147
2021-10-19,5.5375,5.3247,5.46045,5.91562
2021-10-18,5.5175,5.32495,5.46432,5.92163
2021-10-15,5.4925,5.3249,5.46855,5.92791
2021-10-14,5.4875,5.32475,5.47297,5.93393
2021-10-13,5.5275,5.325,5.47785,5.94059
2021-10-12,5.5625,5.32475,5.48247,5.94723
2021-10-11,5.46,5.3236,5.4876,5.95263
2021-10-08,5.2775,5.3244,5.49312,5.95813
2021-10-07,5.31,5.32965,5.5008,5.96416
2021-10-06,5.4225,5.33405,5.50905,5.97003
2021-10-05,5.1975,5.3368,5.51722,5.97558
2021-10-04,5.2025,5.34485,5.5267,5.98147
2021-10-01,5.22,5.3505,5.53412,5.98625
2021-09-30,5.2575,5.3553,5.54163,5.9907
2021-09-29,5.285,5.35965,5.5499,5.99568
2021-09-28,5.115,5.36365,5.55905,6.00009
2021-09-27,5.09,5.37285,5.56965,6.00608
2021-09-24,5.1125,5.38385,5.57935,6.01261
2021-09-23,5.155,5.3917,5.58913,6.01936
2021-09-22,5.245,5.3993,5.59702,6.02617
2021-09-21,5.29,5.4056,5.60332,6.0335
2021-09-20,5.39,5.4107,5.60843,6.0407
2021-09-17,5.24,5.4127,5.61233,6.04763
2021-09-16,5.21,5.4179,5.61707,6.05504
2021-09-15,5.105,5.4261,5.62192,6.06249
2021-09-14,5.09,5.4357,5.62808,6.06999
2021-09-13,5.2,5.4449,5.63447,6.07795
2021-09-10,5.1725,5.4507,5.64057,6.0856
2021-09-09,5.2025,5.45775,5.64725,6.09368
2021-09-08,5.2325,5.4681,5.65398,6.10198
2021-09-07,5.115,5.47775,5.66125,6.1104
2021-09-06,5.145,5.48865,5.66985,6.1193
2021-09-03,5.215,5.49635,5.6779,6.12845
2021-09-02,5.265,5.50195,5.6844,6.13642
2021-09-01,5.3525,5.50895,5.6909,6.14454
2021-08-31,5.36,5.5153,5.69648,6.15258
2021-08-30,5.375,5.5223,5.70223,6.16093
2021-08-27,5.4175,5.5296,5.70802,6.16912
2021-08-26,5.4275,5.53655,5.7141,6.17746
2021-08-25,5.3925,5.5437,5.72062,6.186
2021-08-24,5.4075,5.54935,5.7288,6.19413
2021-08-23,5.43,5.5516,5.73612,6.20243
2021-08-20,5.485,5.5527,5.74293,6.21026
2021-08-19,5.55,5.5526,5.74827,6.21768
2021-08-18,5.495,5.5522,5.75268,6.22515
2021-08-17,5.535,5.5555,5.75868,6.23276
2021-08-16,5.425,5.5583,5.76582,6.2412
2021-08-13,5.375,5.5651,5.77402,6.24991
2021-08-12,5.35,5.5754,5.78237,6.25813
2021-08-11,5.51,5.5876,5.79212,6.26563
2021-08-10,5.55,5.5962,5.80013,6.27317
2021-08-09,5.515,5.6037,5.80807,6.28129
2021-08-06,5.485,5.6122,5.81537,6.29013
2021-08-05,5.5,5.6212,5.82312,6.29892
2021-08-04,5.515,5.6307,5.83103,6.30865
2021-08-03,5.505,5.6402,5.83878,6.31907
2021-08-02,5.5,5.6516,5.84765,6.32978
2021-07-30,5.54,5.66185,5.85645,6.33903
2021-07-29,5.53,5.67195,5.86513,6.34767
2021-07-28,5.56,5.68405,5.87232,6.35615
2021-07-27,5.6,5.69765,5.88062,6.36353
2021-07-26,5.485,5.70855,5.88842,6.37027
2021-07-23,5.46,5.71775,5.89822,6.37785
2021-07-22,5.475,5.72795,5.90742,6.38681
2021-07-21,5.485,5.74015,5.91645,6.39667
2021-07-20,5.575,5.75445,5.924,6.40721
2021-07-19,5.64,5.76645,5.93103,6.41585
2021-07-16,5.505,5.77485,5.93815,6.424
2021-07-15,5.535,5.78655,5.9492,6.43242
2021-07-14,5.56,5.79475,5.96063,6.44077
2021-07-13,5.545,5.80105,5.96765,6.44819
2021-07-12,5.49,5.80615,5.9747,6.45549
2021-07-09,5.5,5.81195,5.98173,6.46379
2021-07-08,5.62,5.81625,5.98755,6.4695
2021-07-07,5.585,5.81775,5.99235,6.47425
2021-07-06,5.55,5.82045,5.9987,6.47898
2021-07-05,5.49,5.82405,6.00457,6.48349
2021-07-02,5.525,5.83045,6.01032,6.48753
2021-07-01,5.72,5.83675,6.01585,6.49175
2021-06-30,5.715,5.83985,6.01977,6.49471
2021-06-29,5.66,5.84475,6.0228,6.49873
2021-06-28,5.53,5.85105,6.02612,6.50342
2021-06-25,5.495,5.85945,6.03003,6.50848
2021-06-24,5.615,5.86685,6.03522,6.51364
2021-06-23,5.67,5.87285,6.04002,6.5184
2021-06-22,5.71,5.87765,6.04397,6.52267
2021-06-21,5.74,5.88215,6.0478,6.52744
2021-06-18,5.765,5.88645,6.05153,6.53218
2021-06-17,5.785,5.89165,6.0543,6.5366
2021-06-16,5.675,5.89755,6.05783,6.54228
2021-06-15,5.52,5.90825,6.062,6.54907
2021-06-14,5.485,5.92065,6.06707,6.55693
2021-06-11,5.48,5.93315,6.0733,6.5653
2021-06-10,5.53,5.94395,6.08038,6.57338
2021-06-09,5.66,5.95315,6.08652,6.58179
2021-06-08,5.675,5.96185,6.09055,6.59001
2021-06-07,5.765,5.97335,6.09532,6.59771
2021-06-04,5.89,5.98295,6.10095,6.60448
2021-06-03,5.96,5.98935,6.10512,6.61059
2021-06-02,5.94,5.99665,6.1087,6.61654
2021-06-01,5.925,6.00405,6.11275,6.62216
2021-05-31,5.94,6.01245,6.1179,6.62783
2021-05-28,5.935,6.01855,6.12432,6.63402
2021-05-27,5.975,6.02505,6.1294,6.64067
2021-05-26,5.99,6.03135,6.13347,6.64689
2021-05-25,6.075,6.03735,6.1377,6.65072
2021-05-24,6.0125,6.0437,6.1414,6.65337
2021-05-21,6.045,6.05105,6.14638,6.65544
2021-05-20,6.135,6.0583,6.1503,6.65704
2021-05-19,6.24,6.0606,6.15335,6.65827
2021-05-18,6.145,6.0636,6.15675,6.65899
2021-05-17,5.945,6.0683,6.15995,6.66007
2021-05-14,5.97,6.0787,6.16445,6.66216
2021-05-13,6.085,6.0869,6.16967,6.66445
2021-05-12,6.2,6.09275,6.17352,6.66666
2021-05-11,6.175,6.09355,6.17653,6.66774
2021-05-10,6.06,6.0956,6.18015,6.66904
2021-05-07,6.09,6.10145,6.18605,6.67227
2021-05-06,5.945,6.11185,6.19112,6.67549
2021-05-05,5.875,6.1265,6.1993,6.67939
2021-05-04,5.8,6.13425,6.20727,6.68399
2021-05-03,5.78,6.14325,6.2159,6.68863
2021-04-30,5.715,6.1515,6.2249,6.69358
2021-04-29,5.695,6.15885,6.23518,6.69932
2021-04-28,5.72,6.16695,6.2439,6.70521
2021-04-27,5.73,6.17695,6.25175,6.71097
2021-04-26,5.81,6.1851,6.25968,6.71675
2021-04-23,5.84,6.1902,6.2685,6.72291
2021-04-22,5.875,6.19495,6.27698,6.72903
2021-04-21,5.96,6.1997,6.28433,6.73549
2021-04-20,5.975,6.20085,6.29002,6.74144
2021-04-19,5.95,6.2012,6.2951,6.74695
2021-04-16,5.865,6.2006,6.2981,6.75273
2021-04-15,5.915,6.2036,6.3013,6.75737
2021-04-14,5.91,6.2072,6.30365,6.76067
2021-04-13,5.935,6.2103,6.30638,6.76508
2021-04-12,5.955,6.21345,6.30743,6.77194
2021-04-09,6.025,6.2166,6.30823,6.77966
2021-04-08,6.08,6.21695,6.30802,6.78787
2021-04-07,6.21,6.2181,6.30797,6.796
2021-04-06,6.14,6.21575,6.30673,6.80322
2021-04-05,6.11,6.2135,6.30678,6.81079
2021-04-02,6.02,6.21345,6.30652,6.81779
2021-04-01,5.99,6.2168,6.30928,6.82524
2021-03-31,6.095,6.2199,6.31278,6.83367
2021-03-30,6.25,6.21925,6.31418,6.83993
2021-03-29,6.245,6.2173,6.31402,6.84492
2021-03-26,6.21,6.21895,6.31712,6.85064
2021-03-25,6.325,6.2209,6.32282,6.85642
2021-03-24,6.31,6.22075,6.32517,6.86189
2021-03-23,6.345,6.22145,6.32657,6.86891
2021-03-22,6.245,6.22335,6.33353,6.87596
2021-03-19,6.26,6.2301,6.34195,6.88476
2021-03-18,6.29,6.23375,6.34933,6.89514
2021-03-17,6.29,6.2356,6.35795,6.90451
2021-03-16,6.3925,6.23805,6.36693,6.91367
2021-03-15,6.38,6.2391,6.37213,6.9218
2021-03-12,6.4075,6.2417,6.37668,6.93074
2021-03-11,6.25,6.2423,6.38045,6.94038
2021-03-10,6.39,6.2461,6.38573,6.94923
2021-03-09,6.38,6.2499,6.38993,6.95793
2021-03-08,6.465,6.2516,6.39283,6.97078
2021-03-05,6.38,6.2502,6.39215,6.98966
2021-03-04,6.3775,6.25245,6.39167,7.00984
2021-03-03,6.24,6.2543,6.39292,7.03281
2021-03-02,6.2775,6.2595,6.3944,7.05281
2021-03-01,6.3525,6.2647,6.39775,7.06658
2021-02-26,6.61,6.27065,6.40145,7.08004
2021-02-25,6.6775,6.2704,6.40335,7.08973
2021-02-24,6.2625,6.2721,6.40515,7.10148
2021-02-23,6.25,6.2803,6.4133,7.10877
2021-02-22,6.1925,6.28855,6.4217,7.1144
2021-02-19,6.0825,6.2983,6.431,7.12469
2021-02-18,6.1,6.3115,6.4411,7.12921
2021-02-17,6.22,6.32085,6.45083,7.13015
2021-02-16,6.1375,6.32655,6.45843,7.12769
2021-02-15,6.065,6.33425,6.46785,7.12739
2021-02-12,6.0775,6.3468,6.47832,7.12891
2021-02-11,6.1125,6.359,6.48948,7.12992
2021-02-10,6.0175,6.36895,6.50112,7.12915
2021-02-09,5.9925,6.3792,6.51433,7.12756
2021-02-08,5.92,6.389,6.5278,7.12577
2021-02-05,6.015,6.3956,6.54292,7.12359
2021-02-04,6.095,6.399,6.55485,7.11967
2021-02-03,6.065,6.4001,6.56685,7.11552
2021-02-02,6.0925,6.40245,6.57982,7.11084
2021-02-01,6.1125,6.4014,6.59338,7.10589
2021-01-29,6.0425,6.39985,6.60647,7.10048
2021-01-28,6.1375,6.3991,6.62108,7.0958
2021-01-27,6.0925,6.39785,6.63532,7.09058
2021-01-26,6.0275,6.3977,6.64865,7.08459
2021-01-25,6.1075,6.40005,6.6632,7.07894
2021-01-22,6.1875,6.3996,6.676,7.07293
2021-01-21,6.145,6.40175,6.68752,7.06632
2021-01-20,6.0625,6.40565,6.70025,7.05956
2021-01-19,6.1525,6.4091,6.7136,7.05299
2021-01-18,6.3275,6.41075,6.72853,7.04622
2021-01-15,6.3075,6.4153,6.74127,7.03942
2021-01-14,6.3175,6.42475,6.7525,7.03316
2021-01-13,6.345,6.4296,6.76158,7.02606
2021-01-12,6.44,6.4317,6.77208,7.01866
2021-01-11,6.5825,6.4437,6.78347,7.01125
2021-01-08,6.4425,6.4538,6.7949,7.0035
2021-01-07,6.3825,6.4649,6.8073,6.99598
2021-01-06,6.4125,6.4803,6.8228,6.98877
2021-01-05,6.445,6.4958,6.83988,6.98158
2021-01-04,6.51,6.50515,6.85725,6.97476
2021-01-01,6.4375,6.51165,6.87028,6.96786
2020-12-31,6.44,6.5186,6.8829,6.96127
2020-12-30,6.58,6.52535,6.895,6.95475
2020-12-29,6.465,6.52995,6.90325,6.94769
2020-12-28,6.395,6.53405,6.91145,6.94101
2020-12-25,6.4925,6.5341,6.9213,6.93483
2020-12-24,6.47,6.5309,6.93337,6.92816
2020-12-23,6.5,6.53155,6.94807,6.92186
2020-12-22,6.5375,6.5293,6.96427,6.91606
2020-12-21,6.65,6.5308,6.97625,6.91056
2020-12-18,6.5975,6.53225,6.98653,6.90523
2020-12-17,6.7625,6.5363,6.99665,6.90032
2020-12-16,6.6725,6.5382,7.00525,6.89451
2020-12-15,6.6625,6.5463,7.01267,6.88912
2020-12-14,6.68,6.55485,7.01975,6.88381
2020-12-11,6.7425,6.5637,7.0286,6.87853
2020-12-10,6.5675,6.5707,7.03045,6.8725
2020-12-09,6.505,6.5808,7.03285,6.86677
2020-12-08,6.5225,6.5903,7.03547,6.86121
2020-12-07,6.6925,6.60145,7.03702,6.85553
2020-12-04,6.6875,6.60985,7.0351,6.84914
2020-12-03,6.61,6.61995,7.03403,6.84259
2020-12-02,6.53,6.6333,7.03253,6.83668
2020-12-01,6.4825,6.64945,7.03442,6.83146
2020-11-30,6.25,6.6666,7.03792,6.82685
2020-11-27,6.185,6.69025,7.04338,6.82271
2020-11-26,6.15,6.7107,7.04938,6.81897
2020-11-25,6.1825,6.7336,7.05592,6.81559
2020-11-24,6.04,6.7572,7.06147,6.81192
2020-11-23,6.035,6.78535,7.0701,6.80832
2020-11-20,6.005,6.8131,7.079,6.80463
2020-11-19,6.075,6.84305,7.08765,6.80106
2020-11-18,6.085,6.8728,7.09895,6.79718
2020-11-17,6.145,6.8996,7.11182,6.79318
2020-11-16,6.085,6.92635,7.12523,6.78872
2020-11-13,6.295,6.9524,7.14015,6.78454
2020-11-12,6.34,6.9733,7.1522,6.7788
2020-11-11,6.235,6.99485,7.16512,6.77264
2020-11-10,6.235,7.0181,7.17992,6.7669
2020-11-09,6.555,7.0463,7.19357,6.76149
2020-11-06,6.78,7.06725,7.2026,6.75514
2020-11-05,6.56,7.08025,7.20897,6.74817
2020-11-04,6.45,7.09355,7.21785,6.74236
2020-11-03,7.04,7.11245,7.2268,6.73706
2020-11-02,7.0875,7.12325,7.22983,6.7295
2020-10-30,6.9975,7.136,7.23383,6.72198
2020-10-29,7.1525,7.1497,7.23982,6.71474
2020-10-28,7.1875,7.1653,7.2436,6.70699
2020-10-27,6.9125,7.18395,7.2412,6.69916
2020-10-26,6.835,7.20935,7.23945,6.69253
2020-10-23,6.785,7.2289,7.2364,6.68637
